Borough,Year,CO2_emissions
Kingston upon Thames  ,2015,"1,056"
Kingston upon Thames  ,2016,989
Kingston upon Thames  ,2017,955
Kingston upon Thames  ,2018,977
Kingston upon Thames  ,2019,961
Kingston upon Thames  ,2020,805
Kingston upon Thames  ,2021,891
Kingston upon Thames  ,2022,872
Lambeth,2010,"1,262"
Lambeth,2011,"1,140"
Lambeth,2012,"1,176"
Lambeth,2013,"1,199"
Lambeth,2014,"1,081"
Lambeth,2015,"1,003"
Lambeth,2016,947
Lambeth,2017,912
Lambeth,2018,828
Lambeth,2019,830
Lambeth,2020,768
Lambeth,2021,805
Lambeth,2022,763
Lewisham,2010,945
Lewisham,2011,848
Lewisham,2012,873
Lewisham,2013,860
Lewisham,2014,787
Lewisham,2015,751
Lewisham,2016,704
Lewisham,2017,682
Lewisham,2018,814
Lewisham,2019,642
Lewisham,2020,598
Lewisham,2021,603
Lewisham,2022,571
Merton,2010,889
Merton,2011,792
Merton,2012,814
Merton,2013,835
Merton,2014,709
Merton,2015,698
Merton,2016,657
Merton,2017,636
Merton,2018,617
Merton,2019,607
Merton,2020,554
Merton,2021,564
Merton,2022,540
Newham,2010,"1,485"
Newham,2011,"1,375"
Newham,2012,"1,400"
Newham,2013,"1,408"
Newham,2014,"1,309"
Newham,2015,"1,183"
Newham,2016,"1,133"
Newham,2017,"1,068"
Newham,2018,"1,197"
Newham,2019,976
Newham,2020,850
Newham,2021,887
Newham,2022,923
Redbridge,2010,"1,010"
Redbridge,2011,910
Redbridge,2012,944
Redbridge,2013,939
Redbridge,2014,930
Redbridge,2015,824
Redbridge,2016,797
Redbridge,2017,777
Redbridge,2018,737
Redbridge,2019,735
Redbridge,2020,689
Redbridge,2021,704
Redbridge,2022,669
Richmond upon Thames ,2010,"1,356"
Richmond upon Thames ,2011,"1,209"
Richmond upon Thames ,2012,"1,263"
Richmond upon Thames ,2013,"1,266"
Richmond upon Thames ,2014,"1,175"
Richmond upon Thames ,2015,"1,056"
Richmond upon Thames ,2016,989
Richmond upon Thames ,2017,955
Richmond upon Thames ,2018,877
Richmond upon Thames ,2019,623
Richmond upon Thames ,2020,556
Richmond upon Thames ,2021,564
Richmond upon Thames ,2022,551
Southwark,2010,"1,502"
Southwark,2011,"1,318"
Southwark,2012,"1,406"
Southwark,2013,"1,406"
Southwark,2014,"1,170"
Southwark,2015,"1,195"
Southwark,2016,"1,091"
Southwark,2017,"1,032"
Southwark,2018,952
Southwark,2019,900
Southwark,2020,782
Southwark,2021,812
Southwark,2022,799
Sutton,2010,797
Sutton,2011,700
Sutton,2012,741
Sutton,2013,737
Sutton,2014,657
Sutton,2015,626
Sutton,2016,573
Sutton,2017,559
Sutton,2018,533
Sutton,2019,528
Sutton,2020,501
Sutton,2021,506
Sutton,2022,483
Tower Hamlets,2010,"2,142"
Tower Hamlets,2011,"1,790"
Tower Hamlets,2012,"2,004"
Tower Hamlets,2013,"1,889"
Tower Hamlets,2014,"1,768"
Tower Hamlets,2015,"1,486"
Tower Hamlets,2016,"1,323"
Tower Hamlets,2017,"1,213"
Tower Hamlets,2018,"1,132"
Tower Hamlets,2019,"1,129"
Tower Hamlets,2020,997
Tower Hamlets,2021,"1,041"
Tower Hamlets,2022,"1,019"
Waltham Forest,2010,929
Waltham Forest,2011,828
Waltham Forest,2012,857
Waltham Forest,2013,840
Waltham Forest,2014,835
Waltham Forest,2015,729
Waltham Forest,2016,691
Waltham Forest,2017,657
Waltham Forest,2018,636
Waltham Forest,2019,627
Waltham Forest,2020,574
Waltham Forest,2021,587
Waltham Forest,2022,559
Wandsworth,2010,"1,210"
Wandsworth,2011,"1,073"
Wandsworth,2012,"1,117"
Wandsworth,2013,"1,119"
Wandsworth,2014,"1,041"
Wandsworth,2015,953
Wandsworth,2016,933
Wandsworth,2017,887
Wandsworth,2018,828
Wandsworth,2019,847
Wandsworth,2020,788
Wandsworth,2021,804
Wandsworth,2022,766
Westminster,2010,"3,212"
Westminster,2011,"2,855"
Westminster,2012,"2,989"
Westminster,2013,"3,044"
Westminster,2014,"2,709"
Westminster,2015,"2,375"
Westminster,2016,"2,119"
Westminster,2017,"2,028"
Westminster,2018,"1,863"
Westminster,2019,"1,756"
Westminster,2020,"1,464"
Westminster,2021,"1,596"
Westminster,2022,"1,646"
