Borough,Year,NOx,PM10,PM2.5,Total_Emissions
Greenwich,2018,"4,591",995,424,"6,010"
Greenwich,2019,"4,088","1,028",461,"5,577"
Greenwich,2020,"3,598",904,406,"4,908"
Greenwich,2021,"3,884",976,438,"5,298"
Greenwich,2022,"3,965",997,447,"5,409"
Hackney,2010,"2,923",520,286,"3,729"
Hackney,2011,"2,937",565,295,"3,798"
Hackney,2012,"3,238",546,270,"4,054"
Hackney,2013,"3,189",574,274,"4,037"
Hackney,2014,"3,168",520,251,"3,939"
Hackney,2015,"3,015",485,229,"3,729"
Hackney,2016,"3,339",475,240,"4,053"
Hackney,2017,"2,865",444,217,"3,525"
Hackney,2018,"2,323",454,206,"2,983"
Hackney,2019,"2,069",469,224,"2,762"
Hackney,2020,"1,821",413,197,"2,430"
Hackney,2021,"1,965",445,213,"2,624"
Hackney,2022,"2,007",455,217,"2,679"
Hammersmith and Fulham,2010,"3,278",628,309,"4,216"
Hammersmith and Fulham,2011,"3,295",683,319,"4,296"
Hammersmith and Fulham,2012,"3,632",660,292,"4,584"
Hammersmith and Fulham,2013,"3,577",694,296,"4,566"
Hammersmith and Fulham,2014,"3,554",628,271,"4,453"
Hammersmith and Fulham,2015,"3,382",586,247,"4,215"
Hammersmith and Fulham,2016,"3,745",573,259,"4,578"
Hammersmith and Fulham,2017,"3,213",536,235,"3,984"
Hammersmith and Fulham,2018,"2,606",548,223,"3,377"
Hammersmith and Fulham,2019,"2,321",566,242,"3,129"
Hammersmith and Fulham,2020,"2,042",498,213,"2,753"
Hammersmith and Fulham,2021,"2,205",538,230,"2,972"
Hammersmith and Fulham,2022,"2,251",549,235,"3,035"
Haringey,2010,"3,220",559,324,"4,103"
Haringey,2011,"3,236",607,334,"4,177"
Haringey,2012,"3,567",587,306,"4,460"
Haringey,2013,"3,513",617,310,"4,439"
Haringey,2014,"3,490",558,284,"4,333"
Haringey,2015,"3,321",521,259,"4,102"
Haringey,2016,"3,678",510,272,"4,460"
Haringey,2017,"3,156",476,246,"3,878"
Haringey,2018,"2,559",487,234,"3,280"
Haringey,2019,"2,279",503,254,"3,036"
Haringey,2020,"2,006",443,223,"2,672"
Haringey,2021,"2,165",478,241,"2,884"
Haringey,2022,"2,211",488,246,"2,945"
Harrow,2010,"3,298",771,412,"4,481"
Harrow,2011,"3,314",838,424,"4,576"
Harrow,2012,"3,654",810,388,"4,852"
Harrow,2013,"3,598",851,393,"4,843"
Harrow,2014,"3,575",770,361,"4,706"
Harrow,2015,"3,402",719,329,"4,450"
Harrow,2016,"3,767",703,345,"4,816"
Harrow,2017,"3,232",657,312,"4,202"
Harrow,2018,"2,621",673,296,"3,591"
Harrow,2019,"2,335",695,322,"3,351"
Harrow,2020,"2,054",611,283,"2,949"
Harrow,2021,"2,218",660,306,"3,184"
Harrow,2022,"2,264",674,312,"3,251"
Havering,2010,"6,721","1,257",621,"8,598"
Havering,2011,"6,754","1,365",640,"8,759"
Havering,2012,"7,445","1,320",586,"9,351"
Havering,2013,"7,332","1,387",593,"9,313"
Havering,2014,"7,285","1,255",544,"9,085"
Havering,2015,"6,933","1,172",496,"8,601"
Havering,2016,"7,678","1,146",520,"9,344"
Havering,2017,"6,587","1,071",471,"8,129"
Havering,2018,"5,342","1,096",447,"6,885"
Havering,2019,"4,757","1,132",485,"6,375"
Havering,2020,"4,187",996,427,"5,610"
Havering,2021,"4,520","1,076",461,"6,056"
Havering,2022,"4,615","1,098",471,"6,184"
Hillingdon,2010,"26,053","2,796","1,264","30,113"
Hillingdon,2011,"26,181","3,038","1,303","30,522"
Hillingdon,2012,"28,863","2,936","1,193","32,992"
Hillingdon,2013,"28,424","3,086","1,208","32,719"
Hillingdon,2014,"28,243","2,793","1,108","32,144"
Hillingdon,2015,"26,875","2,608","1,011","30,493"
Hillingdon,2016,"29,763","2,550","1,059","33,372"
Hillingdon,2017,"25,535","2,383",959,"28,877"
Hillingdon,2018,"20,710","2,439",910,"24,059"
Hillingdon,2019,"18,443","2,519",989,"21,950"
Hillingdon,2020,"16,229","2,217",870,"19,316"
Hillingdon,2021,"17,520","2,393",939,"20,853"
Hillingdon,2022,"17,889","2,444",959,"21,292"
Hounslow,2010,"11,147","1,932",672,"13,751"
Hounslow,2011,"11,201","2,099",693,"13,993"
Hounslow,2012,"12,349","2,028",634,"15,012"
Hounslow,2013,"12,161","2,132",642,"14,936"
Hounslow,2014,"12,084","1,930",589,"14,602"
Hounslow,2015,"11,498","1,802",537,"13,838"
Hounslow,2016,"12,734","1,762",563,"15,059"
Hounslow,2017,"10,925","1,646",510,"13,081"
Hounslow,2018,"8,861","1,685",484,"11,030"
Hounslow,2019,"7,891","1,740",526,"10,157"
Hounslow,2020,"6,944","1,532",462,"8,938"
Hounslow,2021,"7,496","1,653",499,"9,649"
Hounslow,2022,"7,654","1,688",510,"9,852"
Islington,2010,"3,097",474,291,"3,862"
Islington,2011,"3,112",515,300,"3,927"
Islington,2012,"3,431",497,275,"4,203"
Islington,2013,"3,379",523,278,"4,180"
Islington,2014,"3,358",473,255,"4,086"
Islington,2015,"3,195",442,233,"3,869"
Islington,2016,"3,538",432,244,"4,214"
Islington,2017,"3,036",404,221,"3,660"
Islington,2018,"2,462",413,210,"3,085"
Islington,2019,"2,193",427,228,"2,847"
Islington,2020,"1,929",376,200,"2,505"
Islington,2021,"2,083",405,216,"2,705"
Islington,2022,"2,127",414,221,"2,761"
Kensington and Chelsea,2010,"3,466",484,310,"4,260"
Kensington and Chelsea,2011,"3,483",526,320,"4,329"
Kensington and Chelsea,2012,"3,840",508,292,"4,641"
Kensington and Chelsea,2013,"3,782",534,296,"4,612"
Kensington and Chelsea,2014,"3,758",483,272,"4,513"
Kensington and Chelsea,2015,"3,576",451,248,"4,275"
Kensington and Chelsea,2016,"3,960",441,260,"4,661"
Kensington and Chelsea,2017,"3,398",412,235,"4,045"
Kensington and Chelsea,2018,"2,755",422,223,"3,401"
Kensington and Chelsea,2019,"2,454",436,242,"3,132"
Kensington and Chelsea,2020,"2,159",384,213,"2,756"
Kensington and Chelsea,2021,"2,331",414,230,"2,975"
Kensington and Chelsea,2022,"2,380",423,235,"3,038"
Kingston upon Thames,2010,"3,305",723,355,"4,383"
Kingston upon Thames,2011,"3,321",786,366,"4,473"
Kingston upon Thames,2012,"3,662",759,335,"4,756"
Kingston upon Thames,2013,"3,606",798,339,"4,743"
Kingston upon Thames,2014,"3,583",722,311,"4,616"
Kingston upon Thames,2015,"3,409",675,284,"4,368"
Kingston upon Thames,2016,"3,776",659,297,"4,733"
Kingston upon Thames,2017,"3,240",616,269,"4,125"
Kingston upon Thames,2018,"2,627",631,256,"3,514"
Kingston upon Thames,2019,"2,340",651,278,"3,269"
Kingston upon Thames,2020,"2,059",573,244,"2,876"
Kingston upon Thames,2021,"2,223",619,264,"3,105"
Kingston upon Thames,2022,"2,270",632,269,"3,171"
Lambeth,2010,"4,125",771,380,"5,276"
Lambeth,2011,"4,145",837,392,"5,375"
Lambeth,2012,"4,570",809,359,"5,738"
Lambeth,2013,"4,500",851,364,"5,715"
Lambeth,2014,"4,472",770,333,"5,575"
Lambeth,2015,"4,255",719,304,"5,278"
Lambeth,2016,"4,712",703,319,"5,734"
Lambeth,2017,"4,043",657,289,"4,988"
Lambeth,2018,"3,279",672,274,"4,225"
Lambeth,2019,"2,920",694,298,"3,912"
Lambeth,2020,"2,570",611,262,"3,442"
Lambeth,2021,"2,774",660,283,"3,716"
Lambeth,2022,"2,832",674,289,"3,794"
Lewisham,2010,"6,532",564,362,"7,459"
Lewisham,2011,"6,564",613,374,"7,551"
Lewisham,2012,"7,236",593,342,"8,171"
Lewisham,2013,"7,126",623,346,"8,095"
Lewisham,2014,"7,081",564,318,"7,962"
Lewisham,2015,"6,738",526,290,"7,554"
Lewisham,2016,"7,462",515,304,"8,280"
Lewisham,2017,"6,402",481,275,"7,158"
Lewisham,2018,"5,192",492,261,"5,945"
Lewisham,2019,"4,624",508,283,"5,416"
Lewisham,2020,"4,069",447,249,"4,766"
Lewisham,2021,"4,393",483,269,"5,145"
Lewisham,2022,"4,485",493,275,"5,253"
Merton,2010,"3,158",610,376,"4,144"
Merton,2011,"3,174",663,388,"4,224"
Merton,2012,"3,499",640,355,"4,494"
Merton,2013,"3,446",673,360,"4,478"
Merton,2014,"3,424",609,330,"4,363"
Merton,2015,"3,258",569,301,"4,128"
Merton,2016,"3,608",556,315,"4,479"
Merton,2017,"3,096",520,285,"3,901"
Merton,2018,"2,511",532,271,"3,313"
Merton,2019,"2,236",549,294,"3,079"
Merton,2020,"1,967",483,259,"2,710"
Merton,2021,"2,124",522,280,"2,925"
Merton,2022,"2,169",533,285,"2,987"
Newham,2010,"6,948","1,724",621,"9,292"
Newham,2011,"6,982","1,873",640,"9,495"
Newham,2012,"7,697","1,810",585,"10,093"
Newham,2013,"7,580","1,903",593,"10,076"
Newham,2014,"7,532","1,722",544,"9,798"
Newham,2015,"7,167","1,608",496,"9,271"
Newham,2016,"7,937","1,572",520,"10,029"
Newham,2017,"6,810","1,469",471,"8,750"
Newham,2018,"5,523","1,504",447,"7,473"
Newham,2019,"4,918","1,553",485,"6,957"
Newham,2020,"4,328","1,367",427,"6,122"
Newham,2021,"4,672","1,476",461,"6,609"
Newham,2022,"4,771","1,507",471,"6,748"
Redbridge,2010,"4,611",858,511,"5,979"
Redbridge,2011,"4,633",932,527,"6,092"
Redbridge,2012,"5,108",901,482,"6,491"
Redbridge,2013,"5,030",947,488,"6,465"
Redbridge,2014,"4,998",857,448,"6,303"
Redbridge,2015,"4,756",800,408,"5,965"
Redbridge,2016,"5,267",782,428,"6,478"
Redbridge,2017,"4,519",731,387,"5,638"
Redbridge,2018,"3,665",748,368,"4,781"
Redbridge,2019,"3,264",773,399,"4,436"
Redbridge,2020,"2,872",680,351,"3,904"
Redbridge,2021,"3,101",734,379,"4,214"
Redbridge,2022,"3,166",750,387,"4,303"
Richmond upon Thames,2010,"4,255",806,396,"5,457"
Richmond upon Thames,2011,"4,275",876,408,"5,559"
Richmond upon Thames,2012,"4,713",847,374,"5,933"
Richmond upon Thames,2013,"4,642",890,378,"5,910"
Richmond upon Thames,2014,"4,612",805,347,"5,764"
Richmond upon Thames,2015,"4,389",752,317,"5,457"
Richmond upon Thames,2016,"4,860",735,332,"5,927"
Richmond upon Thames,2017,"4,170",687,300,"5,157"
Richmond upon Thames,2018,"3,382",703,285,"4,370"
Richmond upon Thames,2019,"3,012",726,310,"4,048"
Richmond upon Thames,2020,"2,650",639,272,"3,562"
Richmond upon Thames,2021,"2,861",690,294,"3,845"
Richmond upon Thames,2022,"2,921",705,300,"3,926"
Southwark,2010,"4,814",728,387,"5,928"
Southwark,2011,"4,838",791,399,"6,027"
Southwark,2012,"5,333",764,365,"6,462"
Southwark,2013,"5,252",803,370,"6,425"
Southwark,2014,"5,218",727,339,"6,284"
Southwark,2015,"4,966",679,309,"5,954"
Southwark,2016,"5,499",664,324,"6,487"
Southwark,2017,"4,718",620,293,"5,632"
Southwark,2018,"3,827",635,278,"4,740"
Southwark,2019,"3,408",656,302,"4,366"
Southwark,2020,"2,999",577,266,"3,842"
Southwark,2021,"3,237",623,287,"4,147"
Southwark,2022,"3,305",636,293,"4,235"
Sutton,2010,"4,327",632,374,"5,333"
Sutton,2011,"4,349",686,385,"5,420"
Sutton,2012,"4,794",663,352,"5,810"
Sutton,2013,"4,721",697,357,"5,775"
Sutton,2014,"4,691",631,327,"5,649"
Sutton,2015,"4,464",589,299,"5,352"
Sutton,2016,"4,944",576,313,"5,833"
Sutton,2017,"4,241",538,283,"5,063"
Sutton,2018,"3,440",551,269,"4,260"
Sutton,2019,"3,063",569,292,"3,924"
Sutton,2020,"2,696",501,257,"3,454"
Sutton,2021,"2,910",541,277,"3,728"
Sutton,2022,"2,971",552,283,"3,807"
Tower Hamlets,2010,"5,948","1,043",530,"7,522"
Tower Hamlets,2011,"5,977","1,134",547,"7,658"
Tower Hamlets,2012,"6,590","1,096",500,"8,185"
Tower Hamlets,2013,"6,489","1,152",507,"8,148"
Tower Hamlets,2014,"6,448","1,042",465,"7,955"
Tower Hamlets,2015,"6,136",973,424,"7,533"
Tower Hamlets,2016,"6,795",952,444,"8,191"
Tower Hamlets,2017,"5,830",889,402,"7,121"
Tower Hamlets,2018,"4,728",910,382,"6,020"
Tower Hamlets,2019,"4,211",940,415,"5,565"
Tower Hamlets,2020,"3,705",827,365,"4,897"
Tower Hamlets,2021,"4,000",893,394,"5,287"
Tower Hamlets,2022,"4,084",912,402,"5,398"
Waltham Forest,2010,"3,544",633,386,"4,564"
Waltham Forest,2011,"3,562",688,398,"4,648"
Waltham Forest,2012,"3,927",665,365,"4,956"
Waltham Forest,2013,"3,867",699,369,"4,935"
Waltham Forest,2014,"3,842",632,339,"4,813"
Waltham Forest,2015,"3,656",590,309,"4,555"
Waltham Forest,2016,"4,049",577,324,"4,950"
Waltham Forest,2017,"3,474",539,293,"4,306"
Waltham Forest,2018,"2,817",552,278,"3,648"
Waltham Forest,2019,"2,509",570,302,"3,381"
Waltham Forest,2020,"2,208",502,266,"2,976"
Waltham Forest,2021,"2,384",542,287,"3,212"
Waltham Forest,2022,"2,434",553,293,"3,280"
Wandsworth,2010,"4,334",813,466,"5,613"
Wandsworth,2011,"4,356",883,480,"5,719"
Wandsworth,2012,"4,802",853,439,"6,095"
Wandsworth,2013,"4,729",897,445,"6,071"
Wandsworth,2014,"4,699",812,408,"5,919"
Wandsworth,2015,"4,471",758,372,"5,602"
Wandsworth,2016,"4,951",741,390,"6,083"
Wandsworth,2017,"4,248",693,353,"5,294"
Wandsworth,2018,"3,445",709,335,"4,490"
Wandsworth,2019,"3,068",732,364,"4,165"
Wandsworth,2020,"2,700",644,321,"3,665"
Wandsworth,2021,"2,915",696,346,"3,956"
Wandsworth,2022,"2,976",710,353,"4,040"
Westminster,2010,"9,771","1,468",943,"12,182"
Westminster,2011,"9,819","1,595",973,"12,386"
Westminster,2012,"10,825","1,541",890,"13,256"
Westminster,2013,"10,660","1,620",901,"13,182"
Westminster,2014,"10,592","1,466",827,"12,885"
Westminster,2015,"10,079","1,369",754,"12,202"
Westminster,2016,"11,162","1,339",790,"13,291"
Westminster,2017,"9,577","1,251",715,"11,543"
Westminster,2018,"7,767","1,281",679,"9,727"
Westminster,2019,"6,917","1,323",738,"8,977"
Westminster,2020,"6,087","1,164",649,"7,900"
Westminster,2021,"6,571","1,256",701,"8,528"
Westminster,2022,"6,709","1,283",715,"8,707"
